;;;;826;"United Kingdom of Great Britain and Northern Ireland";;
;;;;;;"East Anglia";
;;;;;;;"Cambridgeshire"
;;;;;;;"Norfolk"
;;;;;;;"Suffolk"
;;;;;;"East Midlands";
;;;;;;;"Derbyshire"
;;;;;;;"Leicestershire"
;;;;;;;"Lincolnshire"
;;;;;;;"Northamptonshire"
;;;;;;;"Nottinghamshire"
;;;;;;"Midland";
;;;;;;;"Hereford Worcester"
;;;;;;;"Salop"
;;;;;;;"Staffordshire"
;;;;;;;"Warwickshire"
;;;;;;;"West Midlands"
;;;;;;"London";
;;;;;;;"London EC DO"
;;;;;;;"London East DO"
;;;;;;;"London North DO"
;;;;;;;"London NW DO"
;;;;;;;"London Paddington"
;;;;;;;"London SE DO"
;;;;;;;"London SW1"
;;;;;;;"London WC DO"
;;;;;;"Northern";
;;;;;;;"Cleveland"
;;;;;;;"Cumbria"
;;;;;;;"Durham"
;;;;;;;"Northumberland"
;;;;;;;"Tyne Wear"
;;;;;;"Northern Ireland";
;;;;;;;"Antrim"
;;;;;;;"Armagh"
;;;;;;;"Down"
;;;;;;;"Fermanagh"
;;;;;;;"Londonderry"
;;;;;;;"Tyrone"
;;;;;;"North West";
;;;;;;;"Cheshire"
;;;;;;;"Isle Of Man"
;;;;;;;"Lancashire"
;;;;;;;"Merseyside"
;;;;;;"Scotland";
;;;;;;;"Borders"
;;;;;;;"Central"
;;;;;;;"Dumfries Gallowa"
;;;;;;;"Fife"
;;;;;;;"Grampian"
;;;;;;;"Highland"
;;;;;;;"Lothians"
;;;;;;;"Strathclyde"
;;;;;;;"Tayside"
;;;;;;"South East";
;;;;;;;"Bedfordshire"
;;;;;;;"Berkshire"
;;;;;;;"Buckinghamshire"
;;;;;;;"East Sussex"
;;;;;;;"Essex"
;;;;;;;"Hampshire"
;;;;;;;"Hertfordshire"
;;;;;;;"Isle Of Wight"
;;;;;;;"Kent"
;;;;;;;"Middlesex"
;;;;;;;"Oxfordshire"
;;;;;;;"Surrey"
;;;;;;;"West Sussex"
;;;;;;"South West";
;;;;;;;"Avon"
;;;;;;;"Channel Islands"
;;;;;;;"Cornwall"
;;;;;;;"Devon"
;;;;;;;"Dorset"
;;;;;;;"Gloucestershire"
;;;;;;;"Isles Of Scilly"
;;;;;;;"Somerset"
;;;;;;;"Wiltshire"
;;;;;;"Wales";
;;;;;;;"Clywd"
;;;;;;;"Dyfed"
;;;;;;;"Gwent"
;;;;;;;"Gwynedd"
;;;;;;;"Mid Glamorgan"
;;;;;;;"Powys"
;;;;;;;"South Glamorgan"
;;;;;;;"West Glamorgan"
;;;;;;"Yorkshire Humberside";
;;;;;;;"Humberside"
;;;;;;;"North Yorkshire"
;;;;;;;"South Yorkshire"
;;;;;;;"West Yorkshire"
